lag,f_stat,p_value,significant_0.05,x_differenced,y_differenced
1,1.0115,0.3223,No,False,False
2,1.0028,0.3796,No,False,False
3,1.6164,0.2107,No,False,False
4,1.1119,0.376,No,False,False
5,1.0795,0.4029,No,False,False
6,0.9216,0.5052,No,False,False
7,1.1149,0.4099,No,False,False
