metric,VADER,FinBERT
positive_ratio,0.571909379947054,0.11409985233667239
negative_ratio,0.11870269119740326,0.034108898378364
neutral_ratio,0.30938792885554267,0.8517912492849636
agreement,0.39982173976666535,0.39982173976666535
mean_confidence,0.41202085112609915,0.8410008298175788
