series,adf_statistic,p_value,is_stationary,critical_1pct,critical_5pct
Daily Mean VADER,-4.3266,0.0004,True,-3.6327,-2.9485
BNB Daily Return,-5.4063,0.0,True,-3.6392,-2.9512
