lag,pearson_r,pearson_p,spearman_r,spearman_p,n_obs
0,0.0438,0.8026,0.1006,0.5654,35
1,-0.0089,0.9596,0.1395,0.4242,35
2,0.2048,0.2452,0.2202,0.2109,34
3,0.1649,0.3591,0.1588,0.3775,33
4,0.0908,0.6211,0.1309,0.4753,32
5,0.1826,0.3255,0.1786,0.3363,31
6,0.1244,0.5124,0.1359,0.4739,30
7,0.1878,0.3292,0.2744,0.1497,29
