lag,f_stat,p_value,significant_0.05
1,0.0063,0.937,No
2,1.1847,0.3207,No
3,0.7198,0.5496,No
4,1.204,0.3372,No
5,0.8653,0.5222,No
6,0.9747,0.4732,No
7,0.8156,0.5906,No
