metric,VADER,FinBERT
positive_ratio,0.47303888008658856,0.0648305720191173
negative_ratio,0.1571308413043053,0.0556663993375454
neutral_ratio,0.36983027860910617,0.8795030286433373
agreement,0.4068097203476583,0.4068097203476583
mean_confidence,0.3415996417137753,0.8672237683848025
