lag,pearson_r,pearson_p,spearman_r,spearman_p,n_obs
0,0.2591,0.1329,0.0193,0.9122,35
1,-0.0457,0.7943,-0.0529,0.7626,35
2,-0.1817,0.3037,-0.215,0.2221,34
3,-0.1705,0.3429,-0.0374,0.8362,33
4,0.0505,0.7836,0.1804,0.3233,32
5,0.0235,0.9002,0.0907,0.6274,31
6,0.2683,0.1518,0.1524,0.4214,30
7,0.2181,0.2558,0.101,0.6022,29
