series,adf_statistic,p_value,is_stationary,critical_1pct,critical_5pct
Daily Mean VADER,0.4891,0.9845,False,-3.6699,-2.9641
ETH Daily Return,-6.4908,0.0,True,-3.6392,-2.9512
