date,price,volume,price_return,log_return
2022-07-26,249.4,365533.647,,
2022-07-27,271.6,656773.695,0.08901363271852447,0.085272362438605
2022-07-28,277.2,669832.4,0.020618556701030855,0.020408871631207033
2022-07-29,293.6,1077799.221,0.059163059163059195,0.05747902942461238
2022-07-30,287.8,683111.103,-0.01975476839237056,-0.019952502287093058
2022-07-31,283.4,564727.273,-0.015288394718554699,-0.01540646719668753
2022-08-01,283.2,493847.804,-0.0007057163020465218,-0.0007059654370153107
2022-08-02,283.8,627814.081,0.0021186440677967155,0.0021164029063776937
2022-08-03,297.5,685924.62,0.04827343199436229,0.04714446025974223
2022-08-04,311.8,808604.152,0.048067226890756265,0.04694773163799166
2022-08-05,315.9,641807.573,0.013149454778704106,0.013063751184363176
2022-08-06,315.2,394288.536,-0.0022158911047799323,-0.0022183498243153873
2022-08-07,322.8,415090.183,0.02411167512690371,0.023825578412069823
2022-08-08,324.9,580206.607,0.006505576208178265,0.0064845062792607145
2022-08-09,324.4,500589.395,-0.0015389350569405824,-0.0015401204337967482
2022-08-10,328.8,831222.11,0.01356350184956856,0.01347234094076712
2022-08-11,323.6,549578.328,-0.015815085158150777,-0.01594147799768815
2022-08-12,327.9,384848.843,0.01328800988875134,0.013200498666265742
2022-08-13,324.3,405066.252,-0.010978956999085021,-0.011039670537330216
2022-08-14,317.6,378353.918,-0.020659882824545117,-0.02087628394029157
2022-08-15,319.5,455916.278,0.00598236775818628,0.00596454444460872
2022-08-16,316.1,370975.919,-0.010641627543035881,-0.010698654596017336
2022-08-17,306.9,504236.732,-0.029104713698196893,-0.029536657595881678
2022-08-18,298.1,409051.886,-0.028673835125447855,-0.02909296094166455
2022-08-19,279.1,870296.511,-0.0637370010063737,-0.06585886014174927
2022-08-20,283.7,513021.10599999997,0.016481547832318144,0.016347201272529158
2022-08-21,301.9,528156.209,0.06415227352837505,0.062178494897987456
2022-08-22,300.0,638895.985,-0.006293474660483578,-0.006313362056592033
2022-08-23,299.3,403374.952,-0.0023333333333332984,-0.0023360597975477754
2022-08-24,296.4,344126.265,-0.009689274974941653,-0.009736521436721551
2022-08-25,301.2,398617.06,0.0161943319838056,0.016064602503806622
2022-08-26,279.6,594770.355,-0.0717131474103585,-0.07441448556608325
2022-08-27,277.9,412732.716,-0.006080114449213303,-0.006098673611197299
2022-08-28,276.5,312819.026,-0.005037783375314797,-0.00505051578606848
2022-08-29,285.9,481690.832,0.033996383363471994,0.03343127836587665
2022-08-30,281.6,436765.765,-0.015040223854494439,-0.015154475044378642
