date,price,volume,price_return,log_return
2022-07-26,1449.12,1199643.7408,,
2022-07-27,1635.74,1513426.0413,0.1287816053880977,0.12113882570088544
2022-07-28,1724.52,1578145.07555,0.05427512929927736,0.05285344954663206
2022-07-29,1721.68,1205266.5703,-0.0016468350613503269,-0.001648192584826196
2022-07-30,1697.0,735132.5286,-0.014334835741833585,-0.014438572055103257
2022-07-31,1678.12,696326.8079,-0.01112551561579267,-0.011187867057264347
2022-08-01,1630.28,801566.5648,-0.028508092389102013,-0.028922339987396926
2022-08-02,1630.91,1081964.5104,0.00038643668572269085,0.000386362038297038
2022-08-03,1618.16,777724.7413,-0.007817721394804078,-0.00784843998302193
2022-08-04,1607.96,735552.181,-0.00630345577693181,-0.006323406437222392
2022-08-05,1736.81,1005846.4712,0.0801325903629444,0.07708380245522739
2022-08-06,1690.6,523314.6444,-0.026606249388246295,-0.0269666017680178
2022-08-07,1700.19,439904.764,0.0056725422926773295,0.005656514010153265
2022-08-08,1777.05,781620.5443,0.04520671219099026,0.04421467656389727
2022-08-09,1702.76,818171.1019,-0.04180523901972366,-0.04270422211195693
2022-08-10,1853.57,1317767.5127,0.0885679719984025,0.08486304530864872
2022-08-11,1880.19,1105261.9009,0.01436147542310251,0.014259326281607759
2022-08-12,1958.28,717628.1015,0.04153303655481633,0.04069370138366628
2022-08-13,1983.55,695876.0293,0.012904181220254607,0.012821631671543106
2022-08-14,1935.31,569583.4852,-0.024320032265382818,-0.024620648251884012
2022-08-15,1899.06,949162.3305,-0.018730849321297316,-0.018908493460727118
2022-08-16,1876.67,622729.1499,-0.011790043495202851,-0.011860097226792179
2022-08-17,1834.25,951824.8975,-0.022603867488690144,-0.022863251068879646
2022-08-18,1846.39,606254.024,0.006618508927354494,0.006596702760469762
2022-08-19,1609.01,1419826.9515,-0.12856438780539325,-0.13761329834110575
2022-08-20,1576.04,914615.9226,-0.020490860839895375,-0.020703711207068178
2022-08-21,1618.13,780662.6062,0.026706174970178465,0.026355789690766056
2022-08-22,1624.66,941192.8954,0.004035522485832388,0.004027401605630431
2022-08-23,1665.41,940246.932,0.025082171038863565,0.024772776244363897
2022-08-24,1656.56,744667.6078,-0.005314006761097945,-0.00532817631539061
2022-08-25,1695.11,603090.713,0.02327111604771326,0.02300447243224016
2022-08-26,1508.18,1149912.8292,-0.11027602928423519,-0.11684400962412589
2022-08-27,1491.06,756136.6768,-0.011351430200639223,-0.011416349436118464
2022-08-28,1426.76,544846.4486,-0.04312368382224718,-0.044081137075116225
2022-08-29,1551.8,826252.0831,0.08763912641229066,0.08400940813119989
2022-08-30,1524.59,1003075.0172,-0.017534476092279982,-0.017690026024654703
