date,tweet_count,mean_vader,std_vader,vader_pos_ratio,vader_neg_ratio,price,volume,price_return,log_return
2022-07-26,1560,0.17520403846153848,0.41712538545024563,0.46282051282051284,0.1987179487179487,21254.67,177817.24326,,
2022-07-27,9625,0.17015867012987013,0.4143398262597949,0.45620779220779223,0.1867012987012987,22952.45,210971.19796,0.079877975052071,0.0768480486898251
2022-07-28,11887,0.16245332716412889,0.4274890112689125,0.448725498443678,0.19559182299991587,23842.93,236029.0741,0.0387967297608751,0.0380630527083889
2022-07-29,12028,0.17053126870635182,0.41739059584253096,0.4414699035583638,0.1831559694047223,23773.75,198298.50623,-0.0029014890367921,-0.0029057065160629
2022-07-30,9554,0.18637857441909148,0.4227886758714275,0.46305212476449653,0.18055264810550556,23643.51,151060.13211,-0.0054783111625217,-0.0054933721401181
2022-07-31,8764,0.1803156663623916,0.4241935436790984,0.4535600182565039,0.18142400730260155,23293.32,127743.32483,-0.0148112526439602,-0.0149220344858788
2022-08-01,10149,0.1974321608040201,0.4219692579389135,0.47512070154695046,0.16947482510592177,23268.01,144210.16219,-0.0010865776110919,-0.0010871683645161
2022-08-02,11069,0.18127927545397055,0.4158148674736012,0.4580359562742795,0.17065678923118618,22987.79,158073.28225,-0.0120431442138798,-0.0121162504204261
2022-08-03,10692,0.17074658623269734,0.42114493959937865,0.4546389824167602,0.18237934904601572,22818.37,145948.80995,-0.0073699994649334,-0.0073972920914354
2022-08-04,10727,0.17810183648736833,0.4144690240192983,0.4518504707746807,0.17516547030856716,22622.98,154854.67016,-0.0085628377487085,-0.0085997094791793
2022-08-05,9387,0.1845918930435709,0.4128207623142078,0.45499094492383085,0.168530947054437,23312.42,175251.69749,0.030475207068211,0.0300200619305776
2022-08-06,8941,0.19670995414383177,0.4110431220749887,0.4582261492003132,0.15177273235655966,22954.21,83911.80307,-0.0153656291367433,-0.015484903813883
2022-08-07,9524,0.1993322553548929,0.4092630554717837,0.4525409491810164,0.14752204955900883,23174.39,88890.00877,0.0095921401782068,0.0095464276895303
2022-08-08,11260,0.18994857904085258,0.40688458355746415,0.46145648312611015,0.1594138543516874,23810.0,170958.44152,0.0274272591425275,0.0270578708603665
2022-08-09,10854,0.1878252072968491,0.4226874509523557,0.4683066150727842,0.18103924820342732,23149.95,143182.50858,-0.0277215455690885,-0.0281130397960745
2022-08-10,10642,0.18100914301822965,0.4159145105821713,0.45639917308776545,0.17261792896072167,23954.05,208916.54953,0.0347344162730371,0.0341447911544965
2022-08-11,9886,0.1817311349382966,0.4013979009043852,0.44871535504754195,0.15607930406635645,23934.39,249759.79557,-0.0008207380380352,-0.0008210750278983
2022-08-12,6785,0.16850878408253503,0.40364303941959095,0.4316875460574797,0.16801768607221812,24403.68,174207.5704,0.0196073515974295,0.0194176037698489
2022-08-13,9967,0.20331670512691882,0.4177592947346678,0.47737533861743753,0.158924450687268,24441.38,152852.25435,0.0015448489735974,0.001543656921957
2022-08-14,10223,0.17500568326323,0.4050585714752282,0.44253154651276533,0.16775897486060842,24305.24,151206.14473,-0.0055700619195806,-0.0055856325610175
2022-08-15,11261,0.17240136755172722,0.4101035344537846,0.44827279992895835,0.17707130805434687,24094.82,242539.54758,-0.0086573923976888,-0.008695085325241
2022-08-16,9298,0.1764638309313831,0.41252268548692056,0.45687244568724455,0.18261991826199184,23854.74,179324.94821,-0.0099639673589592,-0.0100139399087299
2022-08-17,8750,0.16868417142857142,0.41368408295609654,0.44765714285714286,0.18217142857142857,23342.66,210668.68766,-0.0214665932221437,-0.0217003519236227
2022-08-18,10246,0.16995014639859457,0.40760476960226566,0.4473941050165918,0.17499512004684756,23191.2,144185.97011,-0.0064885492912974,-0.0065096914314182
2022-08-19,8598,0.13774748778785764,0.41421617924985527,0.4171900441963247,0.20365201209583625,20834.39,283995.87747,-0.1016251854151575,-0.107167909583041
2022-08-20,6898,0.14534088141490287,0.4171957209821719,0.41983183531458396,0.20005798782255726,21140.07,183041.68363,0.0146718958414429,0.014565304906857
2022-08-21,9032,0.15927664968999114,0.41260859271914485,0.43379096545615586,0.17880868024800708,21515.61,159200.6841,0.0177643688029416,0.0176084265060965
2022-08-22,9602,0.14649960424911476,0.4110843089381424,0.43178504478233704,0.20297854613622163,21399.83,222222.04526,-0.0053812092708502,-0.0053957401299649
2022-08-23,5605,0.1493428545941124,0.411177042370358,0.4374665477252453,0.18965209634255129,21529.12,200967.77164,0.0060416367793574,0.0060234592697346
2022-08-24,6608,0.16003600181598063,0.40811053193460406,0.4338680387409201,0.18280871670702178,21368.08,174383.22046,-0.0074801013696795,-0.007508217623966
2022-08-25,9691,0.1608137963058508,0.40912793339359527,0.4450521102053452,0.18780311629346816,21559.04,169915.78301,0.0089366943590625,0.0088969984309869
2022-08-26,6203,0.13692108657101404,0.4163856220925165,0.41383201676608095,0.20828631307431889,20241.05,273811.61955,-0.0611339837024283,-0.0630824976037437
2022-08-27,10366,0.14237955817094347,0.4240661096690453,0.4222458035886552,0.20490063669689368,20037.6,162582.46032,-0.0100513560314312,-0.0101022119782678
2022-08-28,9882,0.15054550698239225,0.4277599168215476,0.4387775753895973,0.20461445051608987,19555.61,139307.95976,-0.0240542779574398,-0.0243483067767972
2022-08-29,5172,0.12709638437741685,0.40960179367717636,0.40893271461716935,0.20475638051044084,20285.73,210509.49545,0.0373355778725388,0.0366554814045687
2022-08-30,891,0.14301481481481482,0.39282618328550434,0.4208754208754209,0.18742985409652077,19811.66,256634.35529,-0.0233696297840896,-0.0236470299311744
