date,tweet_count,mean_vader,std_vader,vader_pos_ratio,vader_neg_ratio,finbert_pos_ratio,finbert_neg_ratio,finbert_neu_ratio,mean_finbert_score,price,volume,market_cap,price_return,log_return
2022-07-26,1560,0.17520403846153848,0.41712538545024563,0.46282051282051284,0.1987179487179487,0.09423076923076923,0.08653846153846154,0.8192307692307692,0.866730817560202,21306,39348901213.89908,406944600000.0,,
2022-07-27,9625,0.17015867012987013,0.4143398262597949,0.45620779220779223,0.1867012987012987,0.0907012987012987,0.07864935064935065,0.8306493506493506,0.8573928281889334,21258,30971960993.801308,406027800000.0,-0.0022528865108419,-0.0022554280776158
2022-07-28,11887,0.16245332716412889,0.4274890112689125,0.448725498443678,0.19559182299991587,0.09901573147135526,0.0740304534365273,0.8269538150921174,0.8524829834496552,23832,41464947997.78456,455191200000.0,0.1210838272650296,0.1142959202995912
2022-07-29,12028,0.17053126870635182,0.41739059584253096,0.4414699035583638,0.1831559694047223,0.11373461922181577,0.0663451945460592,0.819920186232125,0.8560000682118964,23648,37434200726.4841,451676800000.0,-0.007720711648204,-0.0077506706451898
2022-07-30,9554,0.18637857441909148,0.4227886758714275,0.46305212476449653,0.18055264810550556,0.10037680552648105,0.0679296629683902,0.8316935315051287,0.8543116161800564,23282,22354433697.19124,444686200000.0,-0.01547699594046,-0.0155980149397419
2022-07-31,8764,0.1803156663623916,0.4241935436790984,0.4535600182565039,0.18142400730260155,0.0884299406663624,0.0694888178913738,0.8420812414422638,0.8649439417550087,24404,44390558790.9189,466116400000.0,0.0481917361051456,0.0470665234635567
2022-08-01,10149,0.1974321608040201,0.4219692579389135,0.47512070154695046,0.16947482510592177,0.09340821755838014,0.07577101192235688,0.830820770519263,0.8569189358819399,23241,39028492549.75882,443903100000.0,-0.0476561219472218,-0.0488290929717308
2022-08-02,11069,0.18127927545397055,0.4158148674736012,0.4580359562742795,0.17065678923118618,0.08248260908844521,0.08212123949769627,0.8353961514138585,0.8589292124488596,23082,39651607631.92384,440866200000.0,-0.0068413579450109,-0.006864867319662
2022-08-03,10692,0.17074658623269734,0.42114493959937865,0.4546389824167602,0.18237934904601572,0.0876356154133932,0.07463524130190796,0.8377291432846988,0.8588505648034724,22585,23202840816.88865,431373500000.0,-0.0215319296421453,-0.0217671238916455
2022-08-04,10727,0.17810183648736833,0.4144690240192983,0.4518504707746807,0.17516547030856716,0.08660389670923838,0.07336627202386502,0.8400298312668966,0.8595180831807206,23270,31259648447.38918,444457000000.0,0.0303298649546159,0.0298790082076329
2022-08-05,9387,0.1845918930435709,0.4128207623142078,0.45499094492383085,0.168530947054437,0.0956642164695856,0.06775327580696708,0.8365825077234473,0.8618018469503669,23654,29269950605.81453,451791400000.0,0.0165019338203695,0.0163672565147247
2022-08-06,8941,0.19670995414383177,0.4110431220749887,0.4582261492003132,0.15177273235655966,0.07571859970920479,0.06028408455430041,0.8639973157364949,0.867173020784493,23777,43169124721.21504,454140700000.0,0.0051999661790818,0.0051864930413402
