date,tweet_count,mean_vader,std_vader,vader_pos_ratio,vader_neg_ratio,price,volume,price_return,log_return
2022-07-26,248,0.23675766129032258,0.43635646213426255,0.4879032258064516,0.14112903225806453,249.4,365533.647,,
2022-07-27,3291,0.2963118201154664,0.4309095007809432,0.5496809480401094,0.11668185961713765,271.6,656773.695,0.0890136327185244,0.085272362438605
2022-07-28,3447,0.3309709892660284,0.45145843598199076,0.5921090803597331,0.12126486800116043,277.2,669832.4,0.0206185567010308,0.020408871631207
2022-07-29,1615,0.2880795665634675,0.43734033982837645,0.5318885448916408,0.12507739938080495,293.6,1077799.221,0.0591630591630591,0.0574790294246123
2022-07-30,2607,0.3493185654008439,0.4385173672436514,0.6114307633294975,0.11200613732259301,287.8,683111.103,-0.0197547683923705,-0.019952502287093
2022-07-31,1574,0.31991524777636593,0.42600704037027765,0.579415501905972,0.10736975857687421,283.4,564727.273,-0.0152883947185546,-0.0154064671966875
2022-08-01,3474,0.32979804260218765,0.4422830822960707,0.5831894070236039,0.10679332181922856,283.2,493847.804,-0.0007057163020465,-0.0007059654370153
2022-08-02,982,0.31058594704684317,0.4378647322138271,0.5743380855397149,0.1120162932790224,283.8,627814.081,0.0021186440677967,0.0021164029063776
2022-08-03,2890,0.3255416262975778,0.44048591209561927,0.5993079584775086,0.11280276816608996,297.5,685924.62,0.0482734319943622,0.0471444602597422
2022-08-04,4200,0.31145119047619046,0.42718481599806546,0.5752380952380952,0.11166666666666666,311.8,808604.152,0.0480672268907562,0.0469477316379916
2022-08-05,3502,0.3262833809251856,0.4328049283541562,0.5879497430039977,0.11107938320959451,315.9,641807.573,0.0131494547787041,0.0130637511843631
2022-08-06,4076,0.36445029440628063,0.43511136607851403,0.6214425907752699,0.09445534838076546,315.2,394288.536,-0.0022158911047799,-0.0022183498243153
2022-08-07,1886,0.32599867444326613,0.429834246979258,0.5853658536585366,0.10445387062566278,322.8,415090.183,0.0241116751269037,0.0238255784120698
2022-08-08,1374,0.2889284570596798,0.42852122124300057,0.5516739446870451,0.11135371179039301,324.9,580206.607,0.0065055762081782,0.0064845062792607
2022-08-09,4575,0.2917944043715847,0.4437361785568081,0.5556284153005464,0.12612021857923497,324.4,500589.395,-0.0015389350569405,-0.0015401204337967
2022-08-10,1827,0.29666606458675426,0.4489234191151241,0.5539135194307608,0.12698412698412698,328.8,831222.11,0.0135635018495685,0.0134723409407671
2022-08-11,1003,0.28591395812562315,0.4261783464918757,0.5643070787637089,0.11964107676969092,323.6,549578.328,-0.0158150851581507,-0.0159414779976881
2022-08-12,881,0.29676311010215667,0.43940665793239464,0.5811577752553916,0.12145289443813848,327.9,384848.843,0.0132880098887513,0.0132004986662657
2022-08-13,1815,0.31698336088154266,0.43999757988803884,0.5867768595041323,0.1256198347107438,324.3,405066.252,-0.010978956999085,-0.0110396705373302
2022-08-14,1226,0.3025075040783034,0.4472736495438737,0.5742251223491027,0.11908646003262642,317.6,378353.918,-0.0206598828245451,-0.0208762839402915
2022-08-15,3060,0.29410745098039215,0.44553166469570304,0.5611111111111111,0.13333333333333333,319.5,455916.278,0.0059823677581862,0.0059645444446087
2022-08-16,1698,0.27280288574793876,0.4407980386743471,0.5347467608951708,0.13839811542991756,316.1,370975.919,-0.0106416275430358,-0.0106986545960173
2022-08-17,530,0.2393622641509434,0.4080465197479545,0.47924528301886793,0.12075471698113208,306.9,504236.732,-0.0291047136981968,-0.0295366575958816
2022-08-18,2437,0.3173979072630283,0.4320245243579189,0.5777595404185474,0.11653672548215019,298.1,409051.886,-0.0286738351254478,-0.0290929609416645
2022-08-19,2023,0.28722708848245176,0.43877739847020913,0.5491843796342066,0.12160158180919427,279.1,870296.511,-0.0637370010063737,-0.0658588601417492
2022-08-20,324,0.25808364197530864,0.42681482402094767,0.5092592592592593,0.13271604938271606,283.7,513021.106,0.0164815478323181,0.0163472012725291
2022-08-21,422,0.24950876777251185,0.41065865186946676,0.509478672985782,0.13033175355450238,301.9,528156.209,0.064152273528375,0.0621784948979874
2022-08-22,4078,0.2883814860225601,0.4308657751507657,0.5505149583128984,0.12751348700343307,300.0,638895.985,-0.0062934746604835,-0.006313362056592
2022-08-23,720,0.23976722222222221,0.42352574972078977,0.4875,0.13472222222222222,299.3,403374.952,-0.0023333333333332,-0.0023360597975477
2022-08-24,277,0.29533537906137186,0.4545414846634121,0.5667870036101083,0.15162454873646208,296.4,344126.265,-0.0096892749749416,-0.0097365214367215
2022-08-25,1362,0.29513516886930985,0.44358694451501485,0.5741556534508077,0.1343612334801762,301.2,398617.06,0.0161943319838056,0.0160646025038066
2022-08-26,1517,0.26962966381015163,0.4708545815946364,0.5266974291364536,0.14238628872775214,279.6,594770.355,-0.0717131474103585,-0.0744144855660832
2022-08-27,2112,0.3245358428030303,0.45083571830167685,0.5757575757575758,0.11979166666666667,277.9,412732.716,-0.0060801144492133,-0.0060986736111972
2022-08-28,2387,0.33934637620444075,0.4476971938990057,0.5932132383745287,0.11185588604943443,276.5,312819.026,-0.0050377833753147,-0.0050505157860684
2022-08-29,4782,0.31610368046842324,0.45344337917379446,0.5805102467586783,0.12379757423672104,285.9,481690.832,0.0339963833634719,0.0334312783658766
2022-08-30,949,0.3087240252897787,0.4489119880664491,0.571127502634352,0.11380400421496312,281.6,436765.765,-0.0150402238544944,-0.0151544750443786
