series,adf_statistic,p_value,is_stationary,critical_1pct,critical_5pct
Daily Mean VADER,-0.4867,0.8946,False,-3.6461,-2.9541
BTC Daily Return,-6.0228,0.0,True,-3.6392,-2.9512
