lag,pearson_r,pearson_p,spearman_r,spearman_p,n_obs
0,0.1489,0.3933,0.1031,0.5557,35
1,0.0604,0.7303,0.1171,0.503,35
2,0.0264,0.882,-0.0136,0.9392,34
3,0.1435,0.4257,0.1531,0.3951,33
4,0.1917,0.2931,0.1074,0.5585,32
5,0.1257,0.5005,0.2089,0.2595,31
6,0.0154,0.9354,0.0865,0.6493,30
7,0.244,0.202,0.0818,0.6732,29
