lag,f_stat,p_value,significant_0.05
1,0.1551,0.6964,No
2,0.2541,0.7774,No
3,0.4093,0.7477,No
4,0.7065,0.596,No
5,1.2854,0.3111,No
6,1.2135,0.3495,No
7,1.5269,0.2419,No
