lag,f_stat,p_value,significant_0.05
1,0.1936,0.663,No
2,0.1698,0.8447,No
3,0.1432,0.9331,No
4,0.6037,0.6641,No
5,0.433,0.82,No
6,0.7615,0.6103,No
7,0.7254,0.6541,No
