metric,VADER,FinBERT
positive_ratio,0.4476085652013046,0.08040058825907029
negative_ratio,0.17983564812655653,0.07415733131857712
neutral_ratio,0.37255578667213884,0.8454420804223526
agreement,0.420107764584441,0.420107764584441
mean_confidence,0.3232009044638665,0.8616820846331495
